wikipedia_id,wikipedia_key,wikipedia_title,title,thumbnail
43716131,Maze_Runner:_The_Scorch_Trials,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,https://image.tmdb.org/t/p/w500/mYw7ZyejqSCPFlrT2jHZOESZDU3.jpg
24438299,Letters_to_God,Letters to God,Letters to God,https://image.tmdb.org/t/p/w500/vkOXEUy9J0GNtrqXY9Z9rl9pDHf.jpg
76517672,The_Tearsmith,The Tearsmith,The Tearsmith,https://image.tmdb.org/t/p/w500/uoBHsxSgfc3PQsSn98RfnbePHOy.jpg
69088071,Zero_to_Hero_(film),Zero to Hero (film),Zero to Hero,https://image.tmdb.org/t/p/w500/itbvNJRF3NxIS6gysGEKeO1adSn.jpg
44388848,The_Accountant_(2016_film),The Accountant (2016 film),The Accountant,https://image.tmdb.org/t/p/w500/oHMRhVytkVApLyCNML659LQZiQ1.jpg
74135319,Mending_the_Line,Mending the Line,Mending the Line,https://image.tmdb.org/t/p/w500/BBgXPj3crSX1gidLhdw3gGVrK.jpg
447074,The_Wages_of_Fear,The Wages of Fear,The Wages of Fear,https://image.tmdb.org/t/p/w500/dIU1oCqyWHSFrfwuB4NKeGaJ9Aw.jpg
29024768,No_Pressure_(film),No Pressure (film),No Pressure,https://image.tmdb.org/t/p/w500/ftcmy6pJJfUGOrPaRQXWWZMuO3j.jpg
76457885,Rest_in_Peace_(film),Rest in Peace (film),Rest In Peace,https://image.tmdb.org/t/p/w500/rQTpmzVlg55Fj0IXnkhzOyBP6kz.jpg
75301541,Rewind_(2023_film),Rewind (2023 film),Rewind,https://image.tmdb.org/t/p/w500/i8UjdAwezeFHHR4opNb3LxDCQWC.jpg
75006706,The_Casagrandes_Movie,The Casagrandes Movie,The Casagrandes Movie,https://image.tmdb.org/t/p/w500/1ZHetsKD44xB63ZjTjqryC0CtoL.jpg
5292920,Hellboy_(2004_film),Hellboy (2004 film),Hellboy,https://image.tmdb.org/t/p/w500/xohSnVY9gub1Z30CdrikW9yygTW.jpg
66798171,Shirley_(2024_film),Shirley (2024 film),Shirley,https://image.tmdb.org/t/p/w500/ooo4D4kyZyFee5aiNfwZ43oKOkc.jpg
57126738,Black_Adam_(film),Black Adam (film),Black Adam,https://image.tmdb.org/t/p/w500/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
70438773,Fighter_(2024_film),Fighter (2024 film),Fighter,https://image.tmdb.org/t/p/w500/hRDmkHqUYIODdkgg2oZZV99mVeb.jpg
69372569,Girls_to_Buy,Girls to Buy,Girls to Buy,https://image.tmdb.org/t/p/w500/25garV3UFRy4UixfAPhNfwjN0O0.jpg
75055391,24_Hours_with_Gaspar,24 Hours with Gaspar,24 Hours with Gaspar,https://image.tmdb.org/t/p/w500/8jJKM0ZR3GQo6E3CUkMKKVa4S8B.jpg
71697020,Irish_Wish,Irish Wish,Irish Wish,https://image.tmdb.org/t/p/w500/v4Bb70dpIIQoEnZAHnm3nzCPauU.jpg
69270445,Alone_(2023_film),Alone (2023 film),Alone,https://image.tmdb.org/t/p/w500/n9OzZmPMnVrV0cMQ7amX0DtBkQH.jpg
23335172,The_Back-up_Plan,The Back-up Plan,The Back-Up Plan,https://image.tmdb.org/t/p/w500/fB6PxwdydGzdq5jSWrxwSMEqSFs.jpg
57675000,Ford_v_Ferrari,Ford v Ferrari,Ford v. Ferrari,https://image.tmdb.org/t/p/w500/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg
71929159,Art_of_Love_(film),Art of Love (film),Art of Love,https://image.tmdb.org/t/p/w500/ffgK4b5zdAHYDulYNpWQEyAuEQf.jpg
75583864,Murder_Mubarak,Murder Mubarak,Murder Mubarak,https://image.tmdb.org/t/p/w500/joU5VihgUvkhyPnhzxfjmWk32rd.jpg
71570004,To_Kill_a_Tiger,To Kill a Tiger,To Kill a Tiger,https://image.tmdb.org/t/p/w500/qxzaYYRAH6gZoyJlnajCvYeL6Ms.jpg
68925939,Damsel_(2024_film),Damsel (2024 film),Damsel,https://image.tmdb.org/t/p/w500/AgHbB9DCE9aE57zkHjSmseszh6e.jpg
76205311,"The_Pig,_the_Snake_and_the_Pigeon","The Pig, the Snake and the Pigeon","The Pig, the Snake and the Pigeon",https://image.tmdb.org/t/p/w500/9FhZ9VC999qeOWH2ytbangUMMt4.jpg
74383197,Simón_(2023_film),Simón (2023 film),Simón,https://image.tmdb.org/t/p/w500/9ltmI5Mef0NHWm4Nxcpm6hT8VhY.jpg
76085119,Anweshippin_Kandethum,Anweshippin Kandethum,Anweshippin Kandethum,https://image.tmdb.org/t/p/w500/i32ooxvEsy5V6hDucB7hsELT9Vo.jpg
67824007,Code_8:_Part_II,Code 8: Part II,Code 8 Part II,https://image.tmdb.org/t/p/w500/hhvMTxlTZtnCOe7YFhod9uz3m37.jpg
67001193,Spaceman_(2024_film),Spaceman (2024 film),Spaceman,https://image.tmdb.org/t/p/w500/f46WvKEsBn98WJbPJcO47ZoKn6B.jpg
