wikipedia_id,wikipedia_key,wikipedia_title,title,thumbnail
69917352,The_Nineties_(book),The Nineties (book),The Nineties,
1371813,Icebreaker_(disambiguation),Icebreaker (disambiguation),Icebreaker,https://covers.openlibrary.org/b/olid/OL46070146M-L.jpg
62695113,A_Beautifully_Foolish_Endeavor,A Beautifully Foolish Endeavor,A Beautifully Foolish Endeavor,https://covers.openlibrary.org/b/olid/OL34707748M-L.jpg
363185,Mary_Jane,Mary Jane,Mary Jane,
62542490,The_Madness_of_Crowds,The Madness of Crowds,The Madness of Crowds,
63406919,The_Tower_of_Nero,The Tower of Nero,The Tower of Nero,https://covers.openlibrary.org/b/olid/OL28125368M-L.jpg
10003555,A_Stitch_in_Time,A Stitch in Time,A Stitch in Time,https://covers.openlibrary.org/b/olid/OL4890972M-L.jpg
2157438,The_Promise,The Promise,The Promise,https://covers.openlibrary.org/b/olid/OL24373447M-L.jpg
75368212,The_House_of_Doors,The House of Doors,The House of Doors,
49522731,Powerless_(TV_series),Powerless (TV series),Powerless,https://covers.openlibrary.org/b/olid/OL48316907M-L.jpg
71201442,How_to_Sell_a_Haunted_House,How to Sell a Haunted House,How to Sell a Haunted House,https://covers.openlibrary.org/b/olid/OL36105628M-L.jpg
67550217,Antiracist_Baby,Antiracist Baby,Antiracist Baby,
67726838,Finna_(novella),Finna (novella),Finna,
64578396,Utopia_Avenue,Utopia Avenue,Utopia Avenue,https://covers.openlibrary.org/b/olid/OL30200961M-L.jpg
69259557,Young_Mungo,Young Mungo,Young Mungo,https://covers.openlibrary.org/b/olid/OL39272167M-L.jpg
71310661,Our_Wives_Under_the_Sea,Our Wives Under the Sea,Our Wives Under the Sea,https://covers.openlibrary.org/b/olid/OL35035101M-L.jpg
56717294,Once_Upon_a_Time_in_Hollywood,Once Upon a Time in Hollywood,Once Upon a Time in Hollywood,https://covers.openlibrary.org/b/olid/OL42132087M-L.jpg
7974140,Hester,Hester,Hester,
