title,author
When We Cease to Understand the World,Benjamín Labatut
The Mystery of Mrs. Christie,Marie Benedict
The Vanished Birds,Simon Jimenez
Razorblade Tears,S.A. Cosby
"Across the Green Grass Fields (Wayward Children, #6)",Seanan McGuire
Pretty Things,Janelle Brown
The Searcher,Tana French
"Amari and the Night Brothers (Supernatural Investigations, #1)",B.B. Alston
Hotel Magnifique,Emily J. Taylor
"Deathless Divide (Dread Nation, #2)",Justina Ireland
"Daughter of the Moon Goddess (The Celestial Kingdom Duology, #1)",Sue Lynn Tan
When No One Is Watching,Alyssa Cole
Notes on an Execution,Danya Kukafka
The People We Keep,Allison Larkin
A Good Neighborhood,Therese Anne Fowler
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc  Tran
No One Is Talking About This,Patricia Lockwood
The Plot,Jean Hanff Korelitz
The Happiest Man on Earth,Eddie Jaku
The One Hundred Years of Lenni and Margot,Marianne Cronin
Valentine,Elizabeth Wetmore
"Dolly Parton, Songteller: My Life in Lyrics",Dolly Parton
"All the Stars and Teeth (All the Stars and Teeth, #1)",Adalyn  Grace
The Echo Wife,Sarah Gailey
The Paper Palace,Miranda Cowley Heller
The Woman with the Blue Star,Pam Jenoff
"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman
"Bookshops & Bonedust (Legends & Lattes, #0)",Travis Baldree
"The Lost and Found Bookshop (Bella Vista Chronicles, #3)",Susan Wiggs
"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson
The Covenant of Water,Abraham   Verghese
"Yours Truly (Part of Your World, #2)",Abby Jimenez
"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman
A Burning,Megha Majumdar
Big Summer,Jennifer Weiner
The Library of Legends,Janie Chang
One Last Stop,Casey McQuiston
The Mountains Sing,Nguyễn Phan Quế Mai
"All the Devils Are Here (Chief Inspector Armand Gamache, #16)",Louise Penny
"Love, Theoretically",Ali Hazelwood
"Stamped: Racism, Antiracism, and You",Jason Reynolds
Lady Clementine,Marie Benedict
Olga Dies Dreaming,Xóchitl González
"Paladin’s Grace (The Saint of Steel, #1)",T. Kingfisher
Maame,Jessica George
Monsters Born and Made,Tanvi Berwah
My Government Means to Kill Me,Rasheed Newson
The Paris Library,Janet Skeslien Charles
"Ember Queen (Ash Princess Trilogy, #3)",Laura Sebastian
Clytemnestra,Costanza Casati
